Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,17125,14392
1,2147,8620
2,231225,7596
3,5121,9364
4,2585,7852
5,2191,9521
6,2855,8860
7,1865,9912
8,1566,9653
9,227761,6219
10,225745,6490
11,226755,9499
12,225554,7713
13,1624,8929
14,225110,6475
15,227285,14200
16,2383,7190
17,1499,9229
18,224810,7815
19,1513,6415
20,225904,10755
21,2776,9042
22,225096,9336
23,263764,4955
24,228738,4172
25,1489,9350
26,2725,8352
27,2768,9182
28,1557,6997
29,2113,7761
30,1573,9291
31,226721,8693
32,2294,7404
33,225323,2360
34,225617,4188
35,223751,8820
36,225098,9835
37,2095,8677
38,225081,9405
39,2552,7096
40,225626,9678
41,3389,15373
42,225280,8261
43,228942,7647
44,228050,7528
45,2407,7821
46,2665,6147
47,225759,9995
48,3389,13479
49,225928,7906
