Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,618855,15996
1,220431,6419
2,1977,9805
3,2357,7651
4,1732,7374
5,224949,4169
6,2131,12623
7,225510,10188
8,222614,6422
9,223066,6990
10,229432,6280
11,227659,9664
12,1979,5779
13,2132,10142
14,1634,13542
15,225193,10267
16,1634,11225
17,228422,3572
18,223695,3996
19,226022,7853
20,1631,4822
21,222664,3935
22,1117,6698
23,1324,7789
24,225940,7459
25,223650,3418
26,224911,8991
27,226065,9151
28,1441,4273
29,224097,7688
30,227186,8872
31,225075,5664
32,225217,7151
33,225695,3460
34,222675,5110
35,222576,7343
36,3137,19460
37,230459,9907
38,240137,20328
39,10668,17887
40,5673,8329
41,226705,7889
42,3033,14747
43,228405,9810
44,226600,9291
45,225138,9036
46,227547,6205
47,2542,9379
48,222964,8769
49,223913,9027
50,226493,3817
51,224652,4694
52,226502,10882
53,1624,3684
54,232898,11181
55,228581,14039
56,3596,13113
57,2214,6786
58,228654,6214
59,224664,9255
60,226473,7080
61,241511,7663
62,224409,9737
63,2354,8942
64,1859,9805
65,224777,9683
66,1181,7079
67,227492,6290
68,224148,5239
69,1622,6116
70,231828,6599
71,1575,4962
72,225035,7982
73,225486,9886
74,227423,4357
75,229322,10782
76,1667,7029
77,2772,5526
78,224328,9204
79,225935,5458
80,225547,10248
81,4296,7542
82,225763,10205
83,224629,10076
84,223446,5260
85,225342,8565
86,1453,9220
87,225973,6717
88,225224,3764
89,226869,9128
90,225512,9743
91,1669,5933
92,1336,6422
93,1619,3336
94,3040,7536
95,226160,6919
96,225255,6855
97,223530,4858
98,2228,6201
99,2302,5605
100,1371,7636
101,229141,6784
102,224949,8435
103,224964,10465
104,1356,9180
105,2489,7392
106,237843,3487
107,1956,6576
108,1628,9373
109,223833,5360
110,232277,7780
111,1882,5450
112,1622,9166
113,1398,7669
114,219100,9494
115,1419,7763
116,224105,6700
117,2728,8014
118,1895,7074
119,1863,6738
120,1612,9708
121,223261,7637
122,224576,9353
123,1990,6600
124,1588,5735
125,1526,6346
126,1481,9207
127,219619,9048
128,224650,6739
129,2533,7562
130,1534,6150
131,224306,5737
132,1336,5337
133,225740,8346
134,224736,7551
135,2241,8142
136,1290,9725
137,1434,9734
138,223877,19855
139,239312,16825
140,258713,19309
141,227846,16656
142,228247,19242
143,223986,23792
144,4353,13649
145,5431,10932
146,225194,12883
147,228846,10721
148,4752,7178
149,1346,9336
