Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,541882,10727
1,343225,8290
2,344718,12087
3,344743,7001
4,343528,7384
5,2387,5496
6,347041,10495
7,349295,8881
8,343634,5475
9,342564,9989
10,2130,5699
11,345464,8942
12,349729,6811
13,365100,5641
14,345015,9961
15,1808,5191
16,1576,5382
17,1599,9196
18,342229,5080
19,1413,7492
20,338969,13492
21,343673,7708
22,347828,9225
23,1221,8102
24,1435,7505
25,363702,20152
26,370257,15898
27,354556,12557
28,11102,15447
29,4020,15223
30,2434,6359
31,1790,10411
32,2990,7436
33,2672,10945
34,4301,17146
35,3017,6531
36,371671,8896
37,343097,12063
38,2162,13423
39,6440,12734
40,373577,14486
41,361655,16522
42,351059,13260
43,365747,16298
44,3111,9615
45,5403,10546
46,2096,9073
47,1622,9240
48,353550,5569
49,345666,5782
