Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,11495,24631
1,934240,13542
2,4964,16760
3,11348,12803
4,4934,7438
5,909287,10751
6,901100,8740
7,4265,6265
8,3017,4993
9,642610,8056
10,2886,10522
11,3420,10406
12,907054,14930
13,910630,6355
14,3345,10684
15,3412,9070
16,2826,6696
17,9368,10746
18,3395,10806
19,907702,11931
20,907249,4258
21,899868,10597
22,911461,10169
23,3173,10042
24,4221,13771
25,4968,15063
26,932023,19771
27,905292,10509
28,5476,17899
29,8045,8053
30,906974,7977
31,905036,11770
32,4293,7859
33,905388,6178
34,525492,8945
35,903283,8119
36,902821,9711
37,7118,12931
38,906468,8636
39,3865,13295
40,3847,5971
41,907806,5618
42,4418,11141
43,4255,7142
44,929800,16720
45,498128,7349
46,3830,10146
47,903019,8866
48,904590,9130
49,2821,12441
